Flow Duration,Total Backward Packets,Label
20981,2,BENIGN
21512,2,BENIGN
115146042,91,BENIGN
21233,2,BENIGN
21375,2,BENIGN
21256,2,BENIGN
24709,2,BENIGN
21154,2,BENIGN
21171,2,BENIGN
21170,2,BENIGN
55847,2,BENIGN
20987,2,BENIGN
21181,2,BENIGN
21086,2,BENIGN
25688,2,BENIGN
21190,2,BENIGN
21189,2,BENIGN
66930,2,BENIGN
20994,2,BENIGN
21192,2,BENIGN
276,3,BENIGN
54747,2,BENIGN
41198,1,BENIGN
55728,1,BENIGN
54728,1,BENIGN
41188,1,BENIGN
113,2,BENIGN
113,2,BENIGN
195,2,BENIGN
150,2,BENIGN
21276,2,BENIGN
47588,2,BENIGN
144462,13,BENIGN
1,0,BENIGN
3,0,BENIGN
21128,2,BENIGN
21102,2,BENIGN
61160579,26,BENIGN
21058,2,BENIGN
21066,2,BENIGN
115988570,30,BENIGN
6016021,0,BENIGN
14,0,BENIGN
341,3,BENIGN
190,3,BENIGN
26531,2,BENIGN
26429,2,BENIGN
21090,2,BENIGN
21005,2,BENIGN
45511,2,BENIGN
116894154,31,BENIGN
21031,2,BENIGN
21105,2,BENIGN
47840,2,BENIGN
115835876,28,BENIGN
21067,2,BENIGN
21330,2,BENIGN
110576077,46,BENIGN
21321,2,BENIGN
21771,2,BENIGN
45058,2,BENIGN
21101,2,BENIGN
21173,2,BENIGN
54707,2,BENIGN
21006,2,BENIGN
91131,1,BENIGN
198,2,BENIGN
92032,1,BENIGN
141,2,BENIGN
115015622,0,BENIGN
9014303,0,BENIGN
116376994,0,BENIGN
1,0,BENIGN
4,0,BENIGN
141,2,BENIGN
44709,1,BENIGN
125,2,BENIGN
21118,2,BENIGN
21101,2,BENIGN
21059,2,BENIGN
64074,5,BENIGN
1,0,BENIGN
41107,1,BENIGN
41103,1,BENIGN
41050,1,BENIGN
40694,1,BENIGN
40647,1,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
28719,1,BENIGN
429,2,BENIGN
170,2,BENIGN
4,0,BENIGN
488,0,BENIGN
181,2,BENIGN
172,2,BENIGN
3,0,BENIGN
50,0,BENIGN
169,2,BENIGN
121,2,BENIGN
181,2,BENIGN
180,2,BENIGN
173,2,BENIGN
174,2,BENIGN
218,2,BENIGN
117,2,BENIGN
1,0,BENIGN
1,0,BENIGN
306,0,BENIGN
171,2,BENIGN
3,0,BENIGN
174,2,BENIGN
55754137,12,BENIGN
117957835,14,BENIGN
21064,2,BENIGN
21250,2,BENIGN
46790,2,BENIGN
21007,2,BENIGN
54132333,4,BENIGN
100584279,0,BENIGN
45737830,10,BENIGN
28097,1,BENIGN
176,2,BENIGN
472,0,BENIGN
758,0,BENIGN
503,0,BENIGN
1489,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
3,0,BENIGN
195,2,BENIGN
4,0,BENIGN
162,2,BENIGN
2,0,BENIGN
2,0,BENIGN
180,2,BENIGN
2,0,BENIGN
314,0,BENIGN
341,0,BENIGN
1,0,BENIGN
1,0,BENIGN
2,0,BENIGN
2,0,BENIGN
2,0,BENIGN
2,0,BENIGN
338,0,BENIGN
1657,0,BENIGN
1452,0,BENIGN
1159,0,BENIGN
0,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
4,0,BENIGN
169,2,BENIGN
2,0,BENIGN
2,0,BENIGN
3,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
41173,1,BENIGN
143,2,BENIGN
61339059,18,BENIGN
895,0,BENIGN
587,0,BENIGN
40119,1,BENIGN
1,0,BENIGN
215,2,BENIGN
3,0,BENIGN
152,2,BENIGN
662,0,BENIGN
1117,0,BENIGN
1413,0,BENIGN
670,0,BENIGN
27647,3,BENIGN
41285,1,BENIGN
1,0,BENIGN
1,0,BENIGN
588,2,BENIGN
4,0,BENIGN
196,2,BENIGN
167,2,BENIGN
2,0,BENIGN
4,0,BENIGN
597,0,BENIGN
262,0,BENIGN
1,0,BENIGN
1,0,BENIGN
2,0,BENIGN
3,0,BENIGN
2,0,BENIGN
3,0,BENIGN
38379,1,BENIGN
28691,1,BENIGN
186,2,BENIGN
158,2,BENIGN
1,0,BENIGN
3,0,BENIGN
3,0,BENIGN
284489,4,BENIGN
93701,1,BENIGN
200,2,BENIGN
92338,2,BENIGN
112361066,0,BENIGN
9015588,0,BENIGN
117154613,0,BENIGN
113317798,0,BENIGN
234,0,BENIGN
2,0,BENIGN
5,0,BENIGN
225,2,BENIGN
21084,2,BENIGN
21239,2,BENIGN
79473747,84,BENIGN
21115,2,BENIGN
20992,2,BENIGN
45368,2,BENIGN
21086,4,BENIGN
45398,2,BENIGN
1581688,45,BENIGN
115,2,BENIGN
2,0,BENIGN
3,0,BENIGN
908383,22,BENIGN
21064,2,BENIGN
21058,2,BENIGN
21054,2,BENIGN
739088,2,BENIGN
21050,2,BENIGN
20984,2,BENIGN
48296,2,BENIGN
21026,2,BENIGN
116952453,22,BENIGN
129911,12,BENIGN
129161,14,BENIGN
21058,2,BENIGN
62240,2,BENIGN
21022,2,BENIGN
21328,2,BENIGN
21039,2,BENIGN
21323,2,BENIGN
45137,2,BENIGN
45137,2,BENIGN
47603,2,BENIGN
66669,2,BENIGN
20995,2,BENIGN
21244,2,BENIGN
1,0,BENIGN
20981,2,BENIGN
21148,2,BENIGN
73718,2,BENIGN
20980,2,BENIGN
21249,2,BENIGN
2,0,BENIGN
2,0,BENIGN
56079,2,BENIGN
55316,2,BENIGN
21051,2,BENIGN
21217,2,BENIGN
21048,2,BENIGN
21256,2,BENIGN
21148,2,BENIGN
20962,2,BENIGN
46144,2,BENIGN
45015,2,BENIGN
21088,2,BENIGN
21088,2,BENIGN
21012,2,BENIGN
21073,2,BENIGN
21074,2,BENIGN
20979,2,BENIGN
21050,2,BENIGN
21210,2,BENIGN
21221,2,BENIGN
44995,2,BENIGN
54525,2,BENIGN
55216,2,BENIGN
21124,2,BENIGN
21234,2,BENIGN
7192091,8,BENIGN
7191933,8,BENIGN
7191695,8,BENIGN
7191277,8,BENIGN
55229,7,BENIGN
7177859,8,BENIGN
7177786,8,BENIGN
7177712,8,BENIGN
7181351,8,BENIGN
7175716,8,BENIGN
7304679,8,BENIGN
60983,2,BENIGN
55354,3,BENIGN
5520712,2,BENIGN
5520228,2,BENIGN
5520242,2,BENIGN
5520033,2,BENIGN
154,2,BENIGN
56889,3,BENIGN
129,2,BENIGN
5399837,2,BENIGN
117073935,30,BENIGN
117073728,30,BENIGN
21191,2,BENIGN
21271,2,BENIGN
117045215,22,BENIGN
20956,2,BENIGN
118060794,208,BENIGN
140362,13,BENIGN
21086,2,BENIGN
21165,2,BENIGN
1,0,BENIGN
17,0,BENIGN
17,0,BENIGN
21270,2,BENIGN
117118098,22,BENIGN
21199,2,BENIGN
21084,2,BENIGN
21412,2,BENIGN
117057747,24,BENIGN
21301,2,BENIGN
21021,2,BENIGN
21029,2,BENIGN
117001464,25,BENIGN
21173,2,BENIGN
21241,2,BENIGN
116932918,24,BENIGN
21247,2,BENIGN
21323,2,BENIGN
21257,2,BENIGN
21244,2,BENIGN
21078,2,BENIGN
21227,2,BENIGN
21227,2,BENIGN
21074,2,BENIGN
21275,2,BENIGN
21202,2,BENIGN
21264,2,BENIGN
21204,2,BENIGN
21302,2,BENIGN
21016,2,BENIGN
21201,2,BENIGN
21196,2,BENIGN
21024,2,BENIGN
21222,2,BENIGN
21177,2,BENIGN
21296,2,BENIGN
21041,2,BENIGN
21293,2,BENIGN
21011,2,BENIGN
21011,2,BENIGN
21226,2,BENIGN
21119,2,BENIGN
21368,2,BENIGN
21235,2,BENIGN
21112,2,BENIGN
21106,2,BENIGN
111913,2,BENIGN
21254,2,BENIGN
45874,2,BENIGN
21273,2,BENIGN
41143,1,BENIGN
54705,1,BENIGN
54687,1,BENIGN
54977,1,BENIGN
54977,1,BENIGN
178,2,BENIGN
169,2,BENIGN
170,2,BENIGN
163,2,BENIGN
163,2,BENIGN
64848031,0,BENIGN
90375264,0,BENIGN
111726752,10,BENIGN
132338,3,BENIGN
21152,4,BENIGN
46614,2,BENIGN
60580499,26,BENIGN
42022428,0,BENIGN
113267014,0,BENIGN
114584859,0,BENIGN
91990,1,BENIGN
160,2,BENIGN
70098308,24,BENIGN
21247,2,BENIGN
1585185,44,BENIGN
122,1,BENIGN
309441,3,BENIGN
53381,2,BENIGN
21164,2,BENIGN
21047,2,BENIGN
46664,2,BENIGN
1512331,16,BENIGN
21340,2,BENIGN
1505723,2,BENIGN
21166,2,BENIGN
21042,2,BENIGN
21040,2,BENIGN
21055,2,BENIGN
21050,2,BENIGN
21285,2,BENIGN
21285,2,BENIGN
21214,2,BENIGN
21201,2,BENIGN
20977,2,BENIGN
55641,3,BENIGN
55705,3,BENIGN
14340839,10,BENIGN
106,2,BENIGN
72,2,BENIGN
7328842,8,BENIGN
5423175,2,BENIGN
14341216,10,BENIGN
14340235,10,BENIGN
5415851,2,BENIGN
115554334,30,BENIGN
5402488,2,BENIGN
116725548,32,BENIGN
116725023,34,BENIGN
118583270,89,BENIGN
21205,2,BENIGN
21048,2,BENIGN
21026,2,BENIGN
116475009,18,BENIGN
21125,2,BENIGN
21197,2,BENIGN
117487453,209,BENIGN
21222,2,BENIGN
20983,2,BENIGN
21513,2,BENIGN
21514,2,BENIGN
117040011,46,BENIGN
21199,2,BENIGN
20970,2,BENIGN
21063,2,BENIGN
21069,2,BENIGN
21083,2,BENIGN
21033,2,BENIGN
21034,2,BENIGN
21174,2,BENIGN
21197,2,BENIGN
20997,2,BENIGN
21250,2,BENIGN
117895465,125,BENIGN
5443369,13,BENIGN
116876320,46,BENIGN
5425896,14,BENIGN
21211,2,BENIGN
21224,2,BENIGN
5341560,13,BENIGN
146787,21,BENIGN
21596,2,BENIGN
21209,2,BENIGN
21046,2,BENIGN
21233,2,BENIGN
116672826,26,BENIGN
21442,2,BENIGN
21183,2,BENIGN
115417602,28,BENIGN
21007,2,BENIGN
21160,2,BENIGN
20994,2,BENIGN
21057,2,BENIGN
5235214,16,BENIGN
21105,2,BENIGN
116617184,30,BENIGN
20999,2,BENIGN
21027,2,BENIGN
21191,2,BENIGN
115350360,89,BENIGN
2,0,BENIGN
203,0,BENIGN
21379,2,BENIGN
116460448,31,BENIGN
21240,2,BENIGN
115260162,30,BENIGN
21187,2,BENIGN
115233714,30,BENIGN
21234,2,BENIGN
21192,2,BENIGN
21124,2,BENIGN
21124,2,BENIGN
21229,2,BENIGN
21230,2,BENIGN
21003,2,BENIGN
21373,2,BENIGN
88211,18,BENIGN
448,3,BENIGN
25036,2,BENIGN
21211,2,BENIGN
78741,8,BENIGN
20991,2,BENIGN
1,0,BENIGN
300,0,BENIGN
22157,2,BENIGN
54709,1,BENIGN
55022,1,BENIGN
55022,1,BENIGN
188,2,BENIGN
153,2,BENIGN
153,2,BENIGN
0,0,BENIGN
1,0,BENIGN
1,0,BENIGN
0,0,BENIGN
1,0,BENIGN
4,0,BENIGN
194,2,BENIGN
3,0,BENIGN
162,2,BENIGN
3,0,BENIGN
161,2,BENIGN
3,0,BENIGN
160,2,BENIGN
3,0,BENIGN
104,2,BENIGN
1496710,0,BENIGN
418346,0,BENIGN
418017,0,BENIGN
21056,2,BENIGN
21354,2,BENIGN
110141871,61,BENIGN
21189,2,BENIGN
216,0,BENIGN
1,0,BENIGN
3,0,BENIGN
192,2,BENIGN
115986221,0,BENIGN
827,0,BENIGN
520,0,BENIGN
241,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
2,0,BENIGN
1,0,BENIGN
2,0,BENIGN
2,0,BENIGN
2,0,BENIGN
2,0,BENIGN
542,0,BENIGN
220,0,BENIGN
593,0,BENIGN
1,0,BENIGN
0,0,BENIGN
1,0,BENIGN
3,0,BENIGN
2,0,BENIGN
3,0,BENIGN
3,0,BENIGN
2,0,BENIGN
2,0,BENIGN
569,0,BENIGN
216,0,BENIGN
1,0,BENIGN
0,0,BENIGN
3,0,BENIGN
3,0,BENIGN
2,0,BENIGN
3,0,BENIGN
114079568,0,BENIGN
115044719,0,BENIGN
9014932,0,BENIGN
92416,2,BENIGN
21634,2,BENIGN
48052,2,BENIGN
118085692,112,BENIGN
60032762,30,BENIGN
59579491,4,BENIGN
111098137,28,BENIGN
83567,2,BENIGN
83507,2,BENIGN
83301,2,BENIGN
60597233,24,BENIGN
83313,2,BENIGN
110116919,28,BENIGN
20958,2,BENIGN
82379442,60,BENIGN
42028,1,BENIGN
157,2,BENIGN
21620,1,BENIGN
2,0,BENIGN
28320,1,BENIGN
41121,1,BENIGN
460,2,BENIGN
155,2,BENIGN
158,2,BENIGN
147,2,BENIGN
970497,18,BENIGN
686706,2,BENIGN
21061,2,BENIGN
21294,2,BENIGN
21077,2,BENIGN
20980,2,BENIGN
6041353,2,BENIGN
21074,2,BENIGN
119314252,198,BENIGN
117298392,30,BENIGN
117298297,34,BENIGN
47886,2,BENIGN
116284510,28,BENIGN
20990,2,BENIGN
46234,17,BENIGN
46683,2,BENIGN
20964,2,BENIGN
55946,3,BENIGN
108,2,BENIGN
21392,2,BENIGN
21000,2,BENIGN
47187,2,BENIGN
45834,2,BENIGN
21036,2,BENIGN
21189,2,BENIGN
117155834,18,BENIGN
20979,2,BENIGN
21262,2,BENIGN
21194,2,BENIGN
46969,2,BENIGN
21230,2,BENIGN
46937,2,BENIGN
21537,2,BENIGN
21006,2,BENIGN
53891,2,BENIGN
21012,2,BENIGN
10372346,37,BENIGN
21333,2,BENIGN
117386903,28,BENIGN
21010,2,BENIGN
21103,2,BENIGN
21203,2,BENIGN
115088168,28,BENIGN
21053,2,BENIGN
117294328,284,BENIGN
21021,2,BENIGN
105762,2,BENIGN
21783,2,BENIGN
21220,2,BENIGN
47382,2,BENIGN
20996,2,BENIGN
116041953,28,BENIGN
21190,2,BENIGN
47551,2,BENIGN
21211,2,BENIGN
45275,2,BENIGN
21267,2,BENIGN
21001,2,BENIGN
5906125,12,BENIGN
45356,2,BENIGN
21294,2,BENIGN
21317,2,BENIGN
56154,2,BENIGN
10072815,19,BENIGN
21000,2,BENIGN
21055,2,BENIGN
45381,2,BENIGN
21273,2,BENIGN
21482,2,BENIGN
21421,2,BENIGN
21024,2,BENIGN
21433,2,BENIGN
21432,2,BENIGN
44936,2,BENIGN
45290,2,BENIGN
55437,2,BENIGN
21384,2,BENIGN
21384,2,BENIGN
40993,1,BENIGN
182,2,BENIGN
1,0,BENIGN
13,0,BENIGN
3,0,BENIGN
320,3,BENIGN
21959,2,BENIGN
395,3,BENIGN
21901,2,BENIGN
9015650,0,BENIGN
111276003,42,BENIGN
92197,1,BENIGN
71,2,BENIGN
355,0,BENIGN
1363,0,BENIGN
460,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
3,0,BENIGN
188,2,BENIGN
2,0,BENIGN
2,0,BENIGN
3,0,BENIGN
183,2,BENIGN
1411,0,BENIGN
2429,0,BENIGN
2225,0,BENIGN
886,0,BENIGN
418,0,BENIGN
564,0,BENIGN
848,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
0,0,BENIGN
207,2,BENIGN
2331,0,BENIGN
3,0,BENIGN
156,2,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
26,0,BENIGN
2,0,BENIGN
4,0,BENIGN
4,0,BENIGN
3,0,BENIGN
3,0,BENIGN
143,2,BENIGN
200,0,BENIGN
1,0,BENIGN
2,0,BENIGN
1,0,BENIGN
62009904,20,BENIGN
21163,2,BENIGN
1775390,45,BENIGN
327,5,BENIGN
53357,2,BENIGN
114856522,0,BENIGN
114526765,0,BENIGN
116265877,0,BENIGN
91753,3,BENIGN
54571409,12,BENIGN
54315384,12,BENIGN
64671551,0,BENIGN
8998854,0,BENIGN
70113779,16,BENIGN
21369,1,BENIGN
202,2,BENIGN
41162,1,BENIGN
166,2,BENIGN
226,0,BENIGN
1,0,BENIGN
3,0,BENIGN
3,0,BENIGN
21051,2,BENIGN
21029,2,BENIGN
47792,2,BENIGN
27906,1,BENIGN
38450,1,BENIGN
76,2,BENIGN
78,2,BENIGN
20862,2,BENIGN
109999834,0,BENIGN
182,1,BENIGN
91489,1,BENIGN
69,2,BENIGN
112148979,10,BENIGN
114068710,0,BENIGN
788,0,BENIGN
530,0,BENIGN
264,0,BENIGN
0,0,BENIGN
1,0,BENIGN
0,0,BENIGN
2,0,BENIGN
1,0,BENIGN
2,0,BENIGN
183,2,BENIGN
1,0,BENIGN
2,0,BENIGN
538,0,BENIGN
1,0,BENIGN
2,0,BENIGN
1,0,BENIGN
114646381,0,BENIGN
741,0,BENIGN
268,0,BENIGN
425,0,BENIGN
1,0,BENIGN
0,0,BENIGN
1,0,BENIGN
4,0,BENIGN
177,2,BENIGN
3,0,BENIGN
2,0,BENIGN
209,2,BENIGN
2,0,BENIGN
27,0,BENIGN
119848275,0,BENIGN
118940117,16,BENIGN
20816,2,BENIGN
117345688,292,BENIGN
20820,2,BENIGN
20871,2,BENIGN
21018,2,BENIGN
21659,2,BENIGN
92271,2,BENIGN
20839,2,BENIGN
20884,2,BENIGN
20860,2,BENIGN
20861,2,BENIGN
20796,2,BENIGN
21015,2,BENIGN
20966,2,BENIGN
21104,2,BENIGN
1633732,45,BENIGN
240,5,BENIGN
52702,2,BENIGN
49729612,0,BENIGN
415110,11,BENIGN
20889,2,BENIGN
21117,2,BENIGN
404574,2,BENIGN
20759,2,BENIGN
21004,2,BENIGN
20848,2,BENIGN
21042,2,BENIGN
20993,2,BENIGN
88581,3,BENIGN
78560,30,BENIGN
154,2,BENIGN
15142901,9,BENIGN
5955911,2,BENIGN
5950670,2,BENIGN
5950168,2,BENIGN
5947903,2,BENIGN
5942603,2,BENIGN
117456754,28,BENIGN
117456100,28,BENIGN
118321642,67,BENIGN
20982,2,BENIGN
21085,2,BENIGN
20796,2,BENIGN
117264338,26,BENIGN
20760,2,BENIGN
117231139,227,BENIGN
21074,2,BENIGN
21028,2,BENIGN
20888,2,BENIGN
20818,2,BENIGN
20800,2,BENIGN
116807214,42,BENIGN
21051,2,BENIGN
20763,2,BENIGN
20858,2,BENIGN
20816,2,BENIGN
116663583,23,BENIGN
20838,2,BENIGN
20783,2,BENIGN
53898,2,BENIGN
20831,2,BENIGN
20961,2,BENIGN
20898,2,BENIGN
21033,2,BENIGN
116661588,25,BENIGN
142374,10,BENIGN
20808,2,BENIGN
116661948,28,BENIGN
20914,2,BENIGN
20846,2,BENIGN
116611616,24,BENIGN
116647236,33,BENIGN
20863,2,BENIGN
20969,2,BENIGN
48494,7,BENIGN
14340871,10,BENIGN
21029,2,BENIGN
20781,2,BENIGN
20880,2,BENIGN
1,0,BENIGN
40903,2,BENIGN
21047,2,BENIGN
21051,2,BENIGN
116447236,18,BENIGN
20854,2,BENIGN
117437999,28,BENIGN
20966,2,BENIGN
20969,2,BENIGN
20886,2,BENIGN
21391,2,BENIGN
21057,2,BENIGN
21038,2,BENIGN
21106,2,BENIGN
20841,2,BENIGN
79110,13,BENIGN
2,0,BENIGN
258,0,BENIGN
21388,2,BENIGN
40970,1,BENIGN
54989,1,BENIGN
54911,1,BENIGN
54903,1,BENIGN
54895,1,BENIGN
165,2,BENIGN
155,2,BENIGN
154,2,BENIGN
155,2,BENIGN
154,2,BENIGN
1,0,BENIGN
6,0,BENIGN
2,0,BENIGN
778895,16,BENIGN
20906,2,BENIGN
21161,2,BENIGN
754113,2,BENIGN
20917,2,BENIGN
21184,2,BENIGN
46470,2,BENIGN
54520,2,BENIGN
23391,2,BENIGN
21022,2,BENIGN
65618,2,BENIGN
21054,2,BENIGN
47287,2,BENIGN
79541,2,BENIGN
20990,2,BENIGN
5303776,2,BENIGN
5299036,2,BENIGN
5298659,2,BENIGN
5297831,2,BENIGN
5297585,2,BENIGN
5297198,2,BENIGN
20906,2,BENIGN
7294829,8,BENIGN
7298372,8,BENIGN
7293884,8,BENIGN
7293762,8,BENIGN
55560,3,BENIGN
55588,3,BENIGN
7290482,8,BENIGN
7289827,8,BENIGN
7289503,8,BENIGN
45578,2,BENIGN
23176017,19,BENIGN
23144027,40,BENIGN
20818,2,BENIGN
20938,2,BENIGN
86,2,BENIGN
65,2,BENIGN
7160293,8,BENIGN
1069986,4,BENIGN
15152727,9,BENIGN
5048282,2,BENIGN
21081,2,BENIGN
21082,2,BENIGN
110139873,59,BENIGN
21090,2,BENIGN
117150820,24,BENIGN
117150502,24,BENIGN
117002830,18,BENIGN
21043,2,BENIGN
20912,2,BENIGN
116967851,21,BENIGN
20848,2,BENIGN
117983408,65,BENIGN
20879,2,BENIGN
20968,2,BENIGN
20995,2,BENIGN
20919,2,BENIGN
20835,2,BENIGN
117240957,27,BENIGN
20786,2,BENIGN
117235186,26,BENIGN
20885,2,BENIGN
20992,2,BENIGN
20913,2,BENIGN
20895,2,BENIGN
20784,2,BENIGN
66214,2,BENIGN
65517,2,BENIGN
20824,2,BENIGN
45818,2,BENIGN
65623,2,BENIGN
20827,2,BENIGN
21035,2,BENIGN
21056,2,BENIGN
21073,2,BENIGN
20980,2,BENIGN
20988,2,BENIGN
64660,2,BENIGN
71225,2,BENIGN
20856,2,BENIGN
45354,2,BENIGN
48026,2,BENIGN
24125,2,BENIGN
219,3,BENIGN
55098,2,BENIGN
40840,1,BENIGN
54847,1,BENIGN
55092,1,BENIGN
55000,1,BENIGN
54995,1,BENIGN
15146,1,BENIGN
54946,1,BENIGN
209,2,BENIGN
179,2,BENIGN
