Flow Duration,Total Fwd Packets,Label
115867612,31,BENIGN
21011,2,BENIGN
21205,2,BENIGN
21204,2,BENIGN
21286,2,BENIGN
97149162,14,BENIGN
40147,1,BENIGN
54939,1,BENIGN
155,1,BENIGN
116,1,BENIGN
1303735,3,Portmap
435102,1,Portmap
21075,2,BENIGN
20986,2,BENIGN
21158,2,BENIGN
662708,17,BENIGN
110198888,32,BENIGN
20957,2,BENIGN
47194,2,BENIGN
58377,2,BENIGN
21225,2,BENIGN
21076,2,BENIGN
21095,2,BENIGN
21091,2,BENIGN
59206,2,BENIGN
47320,2,BENIGN
21181,2,BENIGN
21183,2,BENIGN
21062,2,BENIGN
21323,2,BENIGN
21324,2,BENIGN
21234,2,BENIGN
47270,2,BENIGN
21059,2,BENIGN
20961,2,BENIGN
45077,2,BENIGN
409087,7,BENIGN
21077,2,BENIGN
21125,2,BENIGN
61210305,29,BENIGN
20969,2,BENIGN
523241,18,BENIGN
21059,2,BENIGN
46036,2,BENIGN
21124,2,BENIGN
117378909,35,BENIGN
119718291,34,BENIGN
21019,2,BENIGN
55231,2,BENIGN
21066,2,BENIGN
7342858,2,BENIGN
7342744,2,BENIGN
55453,1,BENIGN
7342510,2,BENIGN
7342464,2,BENIGN
55606,1,BENIGN
7339407,2,BENIGN
7335457,2,BENIGN
7339058,2,BENIGN
7335021,2,BENIGN
7334257,2,BENIGN
7334096,2,BENIGN
7333404,2,BENIGN
7336646,2,BENIGN
14340605,2,BENIGN
30056943,12,BENIGN
30057064,12,BENIGN
21020,2,BENIGN
228976,13,BENIGN
199670,13,BENIGN
21232,2,BENIGN
158,1,BENIGN
122,1,BENIGN
7164744,2,BENIGN
55500,1,BENIGN
14340952,2,BENIGN
14341309,2,BENIGN
7361400,2,BENIGN
5746625,5,BENIGN
5746465,5,BENIGN
5725203,5,BENIGN
55636,1,BENIGN
113,1,BENIGN
103,1,BENIGN
117745248,36,BENIGN
239154,17,BENIGN
21150,2,BENIGN
116652001,41,BENIGN
116651933,39,BENIGN
21193,2,BENIGN
21020,2,BENIGN
118559779,200,BENIGN
21459,2,BENIGN
40941,3,BENIGN
21527,2,BENIGN
183150,16,BENIGN
178814,16,BENIGN
222659,16,BENIGN
225099,16,BENIGN
117482984,26,BENIGN
22145,2,BENIGN
166486,16,BENIGN
21519,2,BENIGN
116398110,35,BENIGN
116397935,35,BENIGN
116397619,35,BENIGN
5157421,5,BENIGN
21083,2,BENIGN
110140041,46,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
2280,3,BENIGN
3,3,BENIGN
176,1,BENIGN
285,3,BENIGN
1,2,BENIGN
1,2,BENIGN
249,3,BENIGN
320,3,BENIGN
21043,2,BENIGN
116844217,66,BENIGN
21180,2,BENIGN
20976,2,BENIGN
21072,2,BENIGN
115761052,79,BENIGN
21436,2,BENIGN
21290,2,BENIGN
68456,6,BENIGN
21180,2,BENIGN
116544561,34,BENIGN
3,2,BENIGN
94,3,BENIGN
33626,1,BENIGN
21148,2,BENIGN
21208,2,BENIGN
21186,2,BENIGN
21316,2,BENIGN
21151,2,BENIGN
116416026,26,BENIGN
117406979,72,BENIGN
14340083,2,BENIGN
21036,2,BENIGN
162432,17,BENIGN
109356130,48,BENIGN
22023,2,BENIGN
21105,2,BENIGN
14341401,2,BENIGN
21096,2,BENIGN
14341071,2,BENIGN
116317759,30,BENIGN
20987,2,BENIGN
41736,3,BENIGN
104873,2,BENIGN
116248948,68,BENIGN
116249005,44,BENIGN
115233665,46,BENIGN
115233738,48,BENIGN
21095,2,BENIGN
115234035,44,BENIGN
115234093,42,BENIGN
69915,2,BENIGN
21117,2,BENIGN
20981,2,BENIGN
21512,2,BENIGN
115146042,72,BENIGN
21233,2,BENIGN
21375,2,BENIGN
21256,2,BENIGN
24709,2,BENIGN
21154,2,BENIGN
21171,2,BENIGN
21170,2,BENIGN
55847,2,BENIGN
20987,2,BENIGN
21181,2,BENIGN
21086,2,BENIGN
25688,2,BENIGN
151764,4,Portmap
21190,2,BENIGN
21189,2,BENIGN
66930,2,BENIGN
20994,2,BENIGN
21192,2,BENIGN
276,1,BENIGN
54747,1,BENIGN
41198,1,BENIGN
55728,1,BENIGN
54728,1,BENIGN
41188,1,BENIGN
113,1,BENIGN
113,1,BENIGN
195,1,BENIGN
150,1,BENIGN
21276,2,BENIGN
47588,2,BENIGN
144462,14,BENIGN
1,2,BENIGN
3,2,BENIGN
21128,2,BENIGN
21102,2,BENIGN
61160579,27,BENIGN
21058,2,BENIGN
21066,2,BENIGN
115988570,33,BENIGN
6016021,18,BENIGN
14,4,BENIGN
341,1,BENIGN
190,1,BENIGN
26531,1,BENIGN
26429,1,BENIGN
21090,2,BENIGN
171,2,Portmap
21005,2,BENIGN
45511,2,BENIGN
116894154,34,BENIGN
21031,2,BENIGN
21105,2,BENIGN
47840,2,BENIGN
115835876,31,BENIGN
21067,2,BENIGN
21330,2,BENIGN
110576077,45,BENIGN
21321,2,BENIGN
21771,2,BENIGN
45058,2,BENIGN
21101,2,BENIGN
21173,2,BENIGN
54707,2,BENIGN
21006,2,BENIGN
91131,1,BENIGN
198,1,BENIGN
93890,4,Portmap
9317681,33,Portmap
1083,1,Portmap
394814,1,Portmap
92032,1,BENIGN
141,1,BENIGN
128784,4,Portmap
119566390,48,Portmap
115015622,39,BENIGN
9014303,6,BENIGN
116376994,60,BENIGN
144,2,Portmap
1,2,BENIGN
4,3,BENIGN
141,1,BENIGN
158,2,Portmap
44709,1,BENIGN
125,1,BENIGN
21118,2,BENIGN
21101,2,BENIGN
21059,2,BENIGN
99456,4,Portmap
64074,1,BENIGN
1,2,BENIGN
41107,1,BENIGN
41103,1,BENIGN
41050,1,BENIGN
40694,1,BENIGN
40647,1,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
28719,1,BENIGN
429,6,BENIGN
170,1,BENIGN
4,3,BENIGN
488,3,BENIGN
181,1,BENIGN
172,1,BENIGN
3,3,BENIGN
50,3,BENIGN
169,1,BENIGN
121,1,BENIGN
181,1,BENIGN
180,1,BENIGN
173,1,BENIGN
174,1,BENIGN
218,1,BENIGN
117,1,BENIGN
1,2,BENIGN
1,2,BENIGN
306,3,BENIGN
171,1,BENIGN
3,3,BENIGN
174,1,BENIGN
55754137,13,BENIGN
179,2,Portmap
117957835,14,BENIGN
21064,2,BENIGN
21250,2,BENIGN
46790,2,BENIGN
21007,2,BENIGN
5,2,Portmap
54132333,10,BENIGN
100584279,8,BENIGN
102951,4,Portmap
45737830,11,BENIGN
28097,1,BENIGN
176,1,BENIGN
123961,4,Portmap
472,4,BENIGN
758,4,BENIGN
503,4,BENIGN
1489,4,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
3,3,BENIGN
195,1,BENIGN
4,3,BENIGN
162,1,BENIGN
2,2,BENIGN
2,3,BENIGN
180,1,BENIGN
2,2,BENIGN
314,4,BENIGN
341,4,BENIGN
1,2,BENIGN
1,2,BENIGN
2,2,BENIGN
2,2,BENIGN
2,2,BENIGN
2,2,BENIGN
338,4,BENIGN
1657,4,BENIGN
1452,4,BENIGN
1159,4,BENIGN
0,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
4,3,BENIGN
169,1,BENIGN
2,2,BENIGN
2,2,BENIGN
3,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
104677,4,Portmap
13349597,33,Portmap
41173,1,BENIGN
143,1,BENIGN
61339059,18,BENIGN
895,4,BENIGN
587,5,BENIGN
40119,1,BENIGN
1,2,BENIGN
215,1,BENIGN
3,3,BENIGN
152,1,BENIGN
662,5,BENIGN
1117,4,BENIGN
1413,4,BENIGN
670,5,BENIGN
27647,1,BENIGN
41285,1,BENIGN
1,2,BENIGN
1,2,BENIGN
588,3,BENIGN
4,3,BENIGN
196,1,BENIGN
167,1,BENIGN
2,2,BENIGN
4,2,BENIGN
597,4,BENIGN
262,4,BENIGN
1,2,BENIGN
1,2,BENIGN
2,2,BENIGN
3,2,BENIGN
2,2,BENIGN
3,2,BENIGN
38379,1,BENIGN
28691,1,BENIGN
186,1,BENIGN
158,1,BENIGN
1,2,BENIGN
3,2,BENIGN
3,2,BENIGN
154156,4,Portmap
284489,3,BENIGN
93701,1,BENIGN
200,1,BENIGN
1451,1,Portmap
398262,1,Portmap
91364,4,Portmap
92338,4,BENIGN
126453,4,Portmap
112361066,14,BENIGN
122866,4,Portmap
9015588,6,BENIGN
117154613,42,BENIGN
113317798,52,BENIGN
234,4,BENIGN
2,2,BENIGN
5,3,BENIGN
225,1,BENIGN
200799,4,Portmap
117174387,42,Portmap
21084,2,BENIGN
21239,2,BENIGN
3977624,27,Portmap
1332,1,Portmap
255046,1,Portmap
79473747,50,BENIGN
21115,2,BENIGN
20992,2,BENIGN
45368,2,BENIGN
13253337,25,Portmap
21086,4,BENIGN
45398,2,BENIGN
1581688,34,BENIGN
115,1,BENIGN
2,2,BENIGN
3,2,BENIGN
1455,3,Portmap
433174,1,Portmap
221520,4,Portmap
908383,19,BENIGN
21064,2,BENIGN
21058,2,BENIGN
21054,2,BENIGN
739088,7,BENIGN
21050,2,BENIGN
20984,2,BENIGN
48296,2,BENIGN
21026,2,BENIGN
116952453,26,BENIGN
129911,16,BENIGN
129161,16,BENIGN
21058,2,BENIGN
62240,2,BENIGN
21022,2,BENIGN
21328,2,BENIGN
21039,2,BENIGN
21323,2,BENIGN
45137,2,BENIGN
45137,2,BENIGN
47603,2,BENIGN
66669,2,BENIGN
20995,2,BENIGN
21244,2,BENIGN
1,2,BENIGN
20981,2,BENIGN
21148,2,BENIGN
73718,2,BENIGN
20980,2,BENIGN
21249,2,BENIGN
2,2,BENIGN
2,2,BENIGN
56079,2,BENIGN
55316,2,BENIGN
21051,2,BENIGN
21217,2,BENIGN
21048,2,BENIGN
21256,2,BENIGN
21148,2,BENIGN
20962,2,BENIGN
46144,2,BENIGN
45015,2,BENIGN
21088,2,BENIGN
21088,2,BENIGN
21012,2,BENIGN
21073,2,BENIGN
21074,2,BENIGN
20979,2,BENIGN
21050,2,BENIGN
21210,2,BENIGN
21221,2,BENIGN
44995,2,BENIGN
54525,2,BENIGN
55216,2,BENIGN
21124,2,BENIGN
21234,2,BENIGN
7192091,2,BENIGN
7191933,2,BENIGN
7191695,2,BENIGN
7191277,2,BENIGN
55229,3,BENIGN
7177859,2,BENIGN
7177786,2,BENIGN
7177712,2,BENIGN
7181351,2,BENIGN
7175716,2,BENIGN
7304679,2,BENIGN
60983,7,BENIGN
55354,1,BENIGN
5520712,5,BENIGN
5520228,5,BENIGN
5520242,5,BENIGN
5520033,5,BENIGN
154,1,BENIGN
56889,1,BENIGN
129,1,BENIGN
5399837,5,BENIGN
117073935,32,BENIGN
117073728,32,BENIGN
21191,2,BENIGN
21271,2,BENIGN
117045215,24,BENIGN
20956,2,BENIGN
118060794,148,BENIGN
140362,16,BENIGN
21086,2,BENIGN
21165,2,BENIGN
1,2,BENIGN
17,2,BENIGN
17,2,BENIGN
21270,2,BENIGN
117118098,26,BENIGN
21199,2,BENIGN
21084,2,BENIGN
21412,2,BENIGN
117057747,24,BENIGN
21301,2,BENIGN
21021,2,BENIGN
21029,2,BENIGN
117001464,30,BENIGN
21173,2,BENIGN
21241,2,BENIGN
116932918,28,BENIGN
21247,2,BENIGN
21323,2,BENIGN
21257,2,BENIGN
21244,2,BENIGN
21078,2,BENIGN
21227,2,BENIGN
21227,2,BENIGN
21074,2,BENIGN
21275,2,BENIGN
21202,2,BENIGN
21264,2,BENIGN
21204,2,BENIGN
21302,2,BENIGN
21016,2,BENIGN
21201,2,BENIGN
21196,2,BENIGN
21024,2,BENIGN
21222,2,BENIGN
21177,2,BENIGN
21296,2,BENIGN
21041,2,BENIGN
21293,2,BENIGN
21011,2,BENIGN
21011,2,BENIGN
21226,2,BENIGN
21119,2,BENIGN
21368,2,BENIGN
21235,2,BENIGN
21112,2,BENIGN
21106,2,BENIGN
111913,2,BENIGN
21254,2,BENIGN
45874,2,BENIGN
21273,2,BENIGN
41143,1,BENIGN
54705,1,BENIGN
54687,1,BENIGN
54977,1,BENIGN
54977,1,BENIGN
178,1,BENIGN
169,1,BENIGN
170,1,BENIGN
163,1,BENIGN
163,1,BENIGN
179529,4,Portmap
64848031,14,BENIGN
90375264,20,BENIGN
111726752,16,BENIGN
132338,3,BENIGN
21152,4,BENIGN
46614,2,BENIGN
60580499,27,BENIGN
42022428,7,BENIGN
145388,4,Portmap
101965,4,Portmap
134,2,Portmap
9168770,31,Portmap
158791,4,Portmap
91259,4,Portmap
113267014,52,BENIGN
114584859,39,BENIGN
1495,1,Portmap
243091,1,Portmap
119947408,46,Portmap
156844,4,Portmap
206749,6,Portmap
1210140,9,Portmap
745,1,Portmap
215443,1,Portmap
91990,1,BENIGN
160,1,BENIGN
173,2,Portmap
102459,4,Portmap
70098308,18,BENIGN
21247,2,BENIGN
1585185,35,BENIGN
122,1,BENIGN
309441,3,BENIGN
53381,1,BENIGN
21164,2,BENIGN
21047,2,BENIGN
46664,2,BENIGN
1512331,15,BENIGN
21340,2,BENIGN
1505723,7,BENIGN
21166,2,BENIGN
21042,2,BENIGN
21040,2,BENIGN
21055,2,BENIGN
21050,2,BENIGN
21285,2,BENIGN
21285,2,BENIGN
21214,2,BENIGN
21201,2,BENIGN
20977,2,BENIGN
331498,4,Portmap
55641,1,BENIGN
55705,1,BENIGN
14340839,2,BENIGN
106,1,BENIGN
72,1,BENIGN
7328842,2,BENIGN
5423175,5,BENIGN
14341216,2,BENIGN
14340235,2,BENIGN
5415851,5,BENIGN
115554334,33,BENIGN
5402488,5,BENIGN
116725548,36,BENIGN
116725023,36,BENIGN
118583270,64,BENIGN
21205,2,BENIGN
21048,2,BENIGN
21026,2,BENIGN
116475009,22,BENIGN
21125,2,BENIGN
21197,2,BENIGN
117487453,136,BENIGN
21222,2,BENIGN
20983,2,BENIGN
21513,2,BENIGN
21514,2,BENIGN
117040011,44,BENIGN
21199,2,BENIGN
20970,2,BENIGN
21063,2,BENIGN
21069,2,BENIGN
21083,2,BENIGN
21033,2,BENIGN
21034,2,BENIGN
21174,2,BENIGN
21197,2,BENIGN
20997,2,BENIGN
21250,2,BENIGN
117895465,78,BENIGN
5443369,16,BENIGN
116876320,40,BENIGN
5425896,14,BENIGN
21211,2,BENIGN
21224,2,BENIGN
5341560,16,BENIGN
146787,14,BENIGN
21596,2,BENIGN
21209,2,BENIGN
21046,2,BENIGN
21233,2,BENIGN
116672826,26,BENIGN
21442,2,BENIGN
21183,2,BENIGN
115417602,31,BENIGN
21007,2,BENIGN
21160,2,BENIGN
20994,2,BENIGN
21057,2,BENIGN
5235214,16,BENIGN
21105,2,BENIGN
116617184,32,BENIGN
20999,2,BENIGN
90612,4,Portmap
21027,2,BENIGN
21191,2,BENIGN
115350360,72,BENIGN
2,3,BENIGN
203,5,BENIGN
21379,1,BENIGN
116460448,28,BENIGN
21240,2,BENIGN
115260162,33,BENIGN
21187,2,BENIGN
115233714,33,BENIGN
21234,2,BENIGN
21192,2,BENIGN
21124,2,BENIGN
21124,2,BENIGN
21229,2,BENIGN
21230,2,BENIGN
152112,4,Portmap
21003,2,BENIGN
21373,2,BENIGN
88211,12,BENIGN
448,1,BENIGN
25036,1,BENIGN
21211,2,BENIGN
78741,10,BENIGN
20991,2,BENIGN
1,2,BENIGN
300,3,BENIGN
22157,1,BENIGN
54709,1,BENIGN
55022,1,BENIGN
55022,1,BENIGN
188,1,BENIGN
153,1,BENIGN
153,1,BENIGN
0,2,BENIGN
1,2,BENIGN
1,2,BENIGN
0,2,BENIGN
1,2,BENIGN
4,3,BENIGN
194,1,BENIGN
3,3,BENIGN
162,1,BENIGN
3,3,BENIGN
161,1,BENIGN
3,3,BENIGN
160,1,BENIGN
3,3,BENIGN
104,1,BENIGN
1496710,12,BENIGN
418346,6,BENIGN
418017,6,BENIGN
21056,2,BENIGN
21354,2,BENIGN
110141871,48,BENIGN
21189,2,BENIGN
126,2,Portmap
9067645,31,Portmap
1312,1,Portmap
327937,1,Portmap
216,4,BENIGN
1,2,BENIGN
3,3,BENIGN
192,1,BENIGN
115986221,14,BENIGN
827,4,BENIGN
520,4,BENIGN
241,4,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
2,2,BENIGN
1,2,BENIGN
2,2,BENIGN
2,2,BENIGN
2,2,BENIGN
2,2,BENIGN
542,4,BENIGN
220,4,BENIGN
593,4,BENIGN
1,2,BENIGN
0,2,BENIGN
1,2,BENIGN
3,2,BENIGN
2,2,BENIGN
3,2,BENIGN
3,2,BENIGN
2,2,BENIGN
2,2,BENIGN
569,4,BENIGN
216,4,BENIGN
1,2,BENIGN
0,2,BENIGN
3,2,BENIGN
3,2,BENIGN
2,2,BENIGN
3,2,BENIGN
173043,4,Portmap
138490,4,Portmap
158831,4,Portmap
114079568,52,BENIGN
115044719,39,BENIGN
9014932,6,BENIGN
92416,4,BENIGN
119688260,44,Portmap
21634,2,BENIGN
48052,2,BENIGN
118085692,76,BENIGN
60032762,30,BENIGN
59579491,4,BENIGN
111098137,32,BENIGN
83567,2,BENIGN
83507,2,BENIGN
83301,2,BENIGN
60597233,31,BENIGN
83313,2,BENIGN
110116919,32,BENIGN
8763885,31,Portmap
158,2,Portmap
127,2,Portmap
167,2,Portmap
1545,1,Portmap
280049,1,Portmap
20958,2,BENIGN
82379442,38,BENIGN
42028,1,BENIGN
157,1,BENIGN
21620,1,BENIGN
2,2,BENIGN
28320,1,BENIGN
41121,1,BENIGN
460,6,BENIGN
155,1,BENIGN
158,1,BENIGN
147,1,BENIGN
185559,4,Portmap
102472,4,Portmap
970497,17,BENIGN
686706,7,BENIGN
21061,2,BENIGN
21294,2,BENIGN
21077,2,BENIGN
20980,2,BENIGN
6041353,5,BENIGN
21074,2,BENIGN
119314252,125,BENIGN
117298392,30,BENIGN
117298297,32,BENIGN
47886,2,BENIGN
116284510,36,BENIGN
20990,2,BENIGN
46234,3,BENIGN
46683,2,BENIGN
20964,2,BENIGN
55946,1,BENIGN
108,1,BENIGN
21392,2,BENIGN
21000,2,BENIGN
47187,2,BENIGN
45834,2,BENIGN
21036,2,BENIGN
21189,2,BENIGN
117155834,22,BENIGN
20979,2,BENIGN
21262,2,BENIGN
21194,2,BENIGN
46969,2,BENIGN
21230,2,BENIGN
46937,2,BENIGN
21537,2,BENIGN
21006,2,BENIGN
53891,2,BENIGN
21012,2,BENIGN
10372346,25,BENIGN
21333,2,BENIGN
117386903,30,BENIGN
21010,2,BENIGN
21103,2,BENIGN
21203,2,BENIGN
115088168,31,BENIGN
21053,2,BENIGN
117294328,168,BENIGN
21021,2,BENIGN
105762,2,BENIGN
21783,2,BENIGN
21220,2,BENIGN
47382,2,BENIGN
20996,2,BENIGN
116041953,31,BENIGN
21190,2,BENIGN
47551,2,BENIGN
21211,2,BENIGN
45275,2,BENIGN
21267,2,BENIGN
21001,2,BENIGN
5906125,14,BENIGN
45356,2,BENIGN
21294,2,BENIGN
21317,2,BENIGN
56154,2,BENIGN
10072815,14,BENIGN
21000,2,BENIGN
21055,2,BENIGN
45381,2,BENIGN
21273,2,BENIGN
21482,2,BENIGN
21421,2,BENIGN
21024,2,BENIGN
21433,2,BENIGN
21432,2,BENIGN
44936,2,BENIGN
45290,2,BENIGN
55437,2,BENIGN
21384,2,BENIGN
21384,2,BENIGN
40993,1,BENIGN
182,1,BENIGN
1,2,BENIGN
13,2,BENIGN
3,2,BENIGN
320,1,BENIGN
21959,1,BENIGN
395,1,BENIGN
21901,1,BENIGN
9015650,6,BENIGN
164,2,Portmap
111276003,46,BENIGN
92197,1,BENIGN
71,1,BENIGN
355,4,BENIGN
1363,4,BENIGN
460,4,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
3,3,BENIGN
188,1,BENIGN
2,2,BENIGN
2,2,BENIGN
3,3,BENIGN
183,1,BENIGN
1411,4,BENIGN
2429,4,BENIGN
2225,4,BENIGN
886,4,BENIGN
418,4,BENIGN
564,4,BENIGN
848,4,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
0,2,BENIGN
207,3,BENIGN
2331,3,BENIGN
3,3,BENIGN
156,1,BENIGN
1,2,BENIGN
1,2,BENIGN
1,2,BENIGN
26,2,BENIGN
2,2,BENIGN
4,2,BENIGN
4,2,BENIGN
3,2,BENIGN
3,3,BENIGN
143,1,BENIGN
200,4,BENIGN
1,2,BENIGN
2,2,BENIGN
1,2,BENIGN
62009904,20,BENIGN
21163,2,BENIGN
1775390,32,BENIGN
157446,4,Portmap
327,1,BENIGN
53357,1,BENIGN
114856522,52,BENIGN
114526765,39,BENIGN
205,2,Portmap
144,2,Portmap
116265877,14,BENIGN
10627815,27,Portmap
91753,3,BENIGN
114640651,40,Portmap
1253,1,Portmap
777090,2,Portmap
356024,1,Portmap
123,2,Portmap
54571409,13,BENIGN
54315384,13,BENIGN
156440,4,Portmap
64671551,14,BENIGN
148670,4,Portmap
8998854,6,BENIGN
2,2,Portmap
3,2,Portmap
70113779,14,BENIGN
91937,4,Portmap
21369,1,BENIGN
202,1,BENIGN
41162,1,BENIGN
166,1,BENIGN
226,4,BENIGN
1,2,BENIGN
3,2,BENIGN
3,2,BENIGN
21051,2,BENIGN
21029,2,BENIGN
47792,2,BENIGN
101562,4,Portmap
6352175,11,Portmap
27906,1,BENIGN
38450,1,BENIGN
76,1,BENIGN
78,1,BENIGN
157026,4,Portmap
20862,2,BENIGN
107,2,Portmap
109999834,16,BENIGN
182,4,BENIGN
91489,1,BENIGN
69,1,BENIGN
993,1,Portmap
348830,1,Portmap
92208,4,Portmap
112148979,16,BENIGN
102,2,Portmap
114068710,52,BENIGN
788,4,BENIGN
530,4,BENIGN
264,4,BENIGN
0,2,BENIGN
1,2,BENIGN
0,2,BENIGN
2,2,BENIGN
1,2,BENIGN
2,3,BENIGN
183,1,BENIGN
1,2,BENIGN
2,2,BENIGN
102648,4,Portmap
538,4,BENIGN
1,2,BENIGN
2,2,BENIGN
1,2,BENIGN
114646381,39,BENIGN
741,4,BENIGN
268,4,BENIGN
425,4,BENIGN
1,2,BENIGN
0,2,BENIGN
1,2,BENIGN
4,3,BENIGN
177,1,BENIGN
3,2,BENIGN
2,3,BENIGN
209,1,BENIGN
2,2,BENIGN
129386,4,Portmap
111487947,40,Portmap
27,4,BENIGN
119848275,18,BENIGN
5896602,13,Portmap
4841726,25,Portmap
1022,1,Portmap
254809,1,Portmap
928,1,Portmap
1315421,2,Portmap
5375996,2,Portmap
10752026,2,Portmap
118940117,18,BENIGN
23039964,2,Portmap
20816,2,BENIGN
117345688,166,BENIGN
20820,2,BENIGN
20871,2,BENIGN
21018,2,BENIGN
21659,2,BENIGN
92271,4,BENIGN
20839,2,BENIGN
20884,2,BENIGN
20860,2,BENIGN
20861,2,BENIGN
20796,2,BENIGN
21015,2,BENIGN
20966,2,BENIGN
21104,2,BENIGN
1633732,32,BENIGN
111,2,Portmap
240,1,BENIGN
52702,1,BENIGN
49729612,7,BENIGN
415110,13,BENIGN
20889,2,BENIGN
21117,2,BENIGN
404574,7,BENIGN
20759,2,BENIGN
21004,2,BENIGN
20848,2,BENIGN
21042,2,BENIGN
20993,2,BENIGN
88581,1,BENIGN
78560,3,BENIGN
154,1,BENIGN
15142901,10,BENIGN
5955911,5,BENIGN
5950670,5,BENIGN
5950168,5,BENIGN
5947903,5,BENIGN
5942603,5,BENIGN
117456754,32,BENIGN
117456100,32,BENIGN
118321642,52,BENIGN
20982,2,BENIGN
21085,2,BENIGN
20796,2,BENIGN
117264338,28,BENIGN
20760,2,BENIGN
117231139,143,BENIGN
21074,2,BENIGN
21028,2,BENIGN
20888,2,BENIGN
20818,2,BENIGN
20800,2,BENIGN
116807214,42,BENIGN
21051,2,BENIGN
20763,2,BENIGN
20858,2,BENIGN
20816,2,BENIGN
116663583,26,BENIGN
20838,2,BENIGN
20783,2,BENIGN
53898,7,BENIGN
20831,2,BENIGN
20961,2,BENIGN
20898,2,BENIGN
21033,2,BENIGN
116661588,28,BENIGN
142374,14,BENIGN
20808,2,BENIGN
116661948,28,BENIGN
20914,2,BENIGN
20846,2,BENIGN
